iteration dijkstra random bandits
218 0.423 0.548 0.423
219 0.423 0.547 0.423
220 0.423 0.553 0.423
221 0.423 0.552 0.423
222 0.423 0.561 0.423
223 0.423 0.552 0.423
224 0.423 0.546 0.423
225 0.423 0.553 0.423
226 0.423 0.537 0.423
227 0.423 0.56 0.423
228 0.423 0.543 0.423
229 0.423 0.558 0.423
230 0.423 0.539 0.423
231 0.423 0.544 0.423
232 0.423 0.561 0.423
233 0.423 0.553 0.423
234 0.423 0.546 0.423
235 0.423 0.553 0.423
236 0.423 0.559 0.423
237 0.423 0.546 0.423
238 0.423 0.546 0.423
239 0.423 0.552 0.423
240 0.423 0.548 0.423
241 0.423 0.546 0.423
242 0.423 0.553 0.423
243 0.423 0.556 0.423
244 0.423 0.55 0.423
245 0.423 0.567 0.423
246 0.423 0.546 0.423
247 0.423 0.56 0.423
248 0.423 0.542 0.423
249 0.423 0.559 0.423
250 0.423 0.542 0.423
251 0.423 0.545 0.423
252 0.423 0.541 0.423
253 0.423 0.541 0.423
254 0.423 0.549 0.423
255 0.423 0.547 0.423
256 0.423 0.563 0.423
257 0.423 0.54 0.423
258 0.423 0.566 0.423
259 0.423 0.563 0.423
260 0.423 0.539 0.423
261 0.423 0.561 0.423
262 0.423 0.554 0.423
263 0.423 0.547 0.423
264 0.423 0.556 0.423
265 0.423 0.551 0.423
266 0.423 0.547 0.423
267 0.423 0.552 0.423
268 0.423 0.557 0.423
269 0.423 0.551 0.423
270 0.423 0.564 0.423
271 0.423 0.558 0.423
272 0.423 0.535 0.423
273 0.423 0.556 0.423
274 0.423 0.556 0.423
275 0.423 0.56 0.423
276 0.423 0.562 0.423
277 0.423 0.542 0.423
278 0.423 0.542 0.423
279 0.423 0.551 0.423
280 0.423 0.558 0.423
281 0.423 0.554 0.423
282 0.423 0.566 0.423
283 0.423 0.567 0.423
284 0.423 0.565 0.423
285 0.423 0.543 0.423
286 0.423 0.542 0.423
287 0.423 0.556 0.423
288 0.423 0.56 0.423
289 0.423 0.548 0.423
290 0.423 0.554 0.423
291 0.423 0.554 0.423
292 0.423 0.55 0.423
293 0.423 0.546 0.423
294 0.423 0.546 0.423
295 0.423 0.548 0.423
296 0.423 0.558 0.423
297 0.423 0.554 0.423
298 0.423 0.548 0.423
299 0.423 0.567 0.423
300 0.423 0.548 0.423

