iteration dijkstra random bandits
235 0.374 0.521 0.374
236 0.374 0.525 0.374
237 0.374 0.515 0.374
238 0.374 0.524 0.374
239 0.374 0.527 0.374
240 0.374 0.527 0.374
241 0.374 0.509 0.374
242 0.374 0.501 0.374
243 0.374 0.519 0.374
244 0.374 0.514 0.374
245 0.374 0.509 0.374
246 0.374 0.515 0.374
247 0.374 0.508 0.374
248 0.374 0.526 0.374
249 0.374 0.52 0.374
250 0.374 0.527 0.374
251 0.374 0.518 0.374
252 0.374 0.53 0.374
253 0.374 0.508 0.374
254 0.374 0.516 0.374
255 0.374 0.522 0.374
256 0.374 0.531 0.374
257 0.374 0.534 0.374
258 0.374 0.52 0.374
259 0.374 0.532 0.374
260 0.374 0.521 0.374
261 0.374 0.519 0.387
262 0.374 0.529 0.387
263 0.374 0.528 0.374
264 0.374 0.511 0.374
265 0.374 0.518 0.374
266 0.374 0.514 0.374
267 0.374 0.519 0.374
268 0.374 0.516 0.374
269 0.374 0.529 0.374
270 0.374 0.52 0.374
271 0.374 0.51 0.374
272 0.374 0.518 0.374
273 0.374 0.517 0.374
274 0.374 0.5 0.374
275 0.374 0.532 0.374
276 0.374 0.531 0.374
277 0.374 0.514 0.374
278 0.374 0.528 0.374
279 0.374 0.534 0.374
280 0.374 0.516 0.374
281 0.374 0.534 0.374
282 0.374 0.515 0.374
283 0.374 0.513 0.374
284 0.374 0.517 0.374
285 0.374 0.511 0.374
286 0.374 0.516 0.374
287 0.374 0.523 0.374
288 0.374 0.526 0.374
289 0.374 0.516 0.374
290 0.374 0.524 0.374
291 0.374 0.531 0.374
292 0.374 0.516 0.374
293 0.374 0.514 0.374
294 0.374 0.531 0.374
295 0.374 0.516 0.374
296 0.374 0.52 0.374
297 0.374 0.514 0.374
298 0.374 0.515 0.374
299 0.374 0.525 0.374
300 0.374 0.535 0.374

