iteration dijkstra random bandits
188 0.23 0.91 0.37
189 0.23 0.92 0.37
190 0.23 0.91 0.37
191 0.23 0.9 0.37
192 0.23 0.92 0.37
193 0.23 0.91 0.37
194 0.23 0.9 0.37
195 0.23 0.89 0.37
196 0.23 0.91 0.37
197 0.23 0.93 0.37
198 0.23 0.86 0.37
199 0.23 0.9 0.37
200 0.23 0.93 0.37
201 0.23 0.93 0.37
202 0.23 0.85 0.37
203 0.23 0.9 0.37
204 0.23 0.9 0.32
205 0.23 0.92 0.37
206 0.23 0.91 0.36
207 0.23 0.88 0.32
208 0.23 0.89 0.32
209 0.23 0.92 0.31
210 0.23 0.92 0.31
211 0.23 0.92 0.31
212 0.23 0.89 0.31
213 0.23 0.91 0.31
214 0.23 0.93 0.31
215 0.23 0.9 0.31
216 0.23 0.89 0.31
217 0.23 0.87 0.31
218 0.23 0.91 0.31
219 0.23 0.92 0.31
220 0.23 0.91 0.31
221 0.23 0.92 0.31
222 0.23 0.9 0.31
223 0.23 0.88 0.31
224 0.23 0.91 0.31
225 0.23 0.91 0.31
226 0.23 0.92 0.31
227 0.23 0.92 0.31
228 0.23 0.89 0.3
229 0.23 0.92 0.31
230 0.23 0.91 0.31
231 0.23 0.9 0.3
232 0.23 0.92 0.3
233 0.23 0.88 0.3
234 0.23 0.94 0.3
235 0.23 0.9 0.3
236 0.23 0.89 0.3
237 0.23 0.93 0.3
238 0.23 0.91 0.3
239 0.23 0.92 0.3
240 0.23 0.92 0.3
241 0.23 0.9 0.3
242 0.23 0.91 0.3
243 0.23 0.9 0.3
244 0.23 0.92 0.3
245 0.23 0.92 0.3
246 0.23 0.93 0.3
247 0.23 0.86 0.3
248 0.23 0.89 0.3
249 0.23 0.88 0.3
250 0.23 0.93 0.3
251 0.23 0.91 0.3
252 0.23 0.9 0.3
253 0.23 0.91 0.3
254 0.23 0.93 0.3
255 0.23 0.93 0.3
256 0.23 0.87 0.3
257 0.23 0.89 0.3
258 0.23 0.91 0.3
259 0.23 0.91 0.3
260 0.23 0.9 0.3
261 0.23 0.9 0.3
262 0.23 0.88 0.3
263 0.23 0.87 0.29
264 0.23 0.89 0.3
265 0.23 0.92 0.3
266 0.23 0.95 0.28
267 0.23 0.93 0.28
268 0.23 0.9 0.28
269 0.23 0.92 0.28
270 0.23 0.92 0.28
271 0.23 0.91 0.28
272 0.23 0.87 0.28
273 0.23 0.91 0.28
274 0.23 0.88 0.28
275 0.23 0.93 0.28
276 0.23 0.88 0.28
277 0.23 0.91 0.28
278 0.23 0.92 0.28
279 0.23 0.9 0.28
280 0.23 0.91 0.28
281 0.23 0.88 0.28
282 0.23 0.9 0.28
283 0.23 0.89 0.28
284 0.23 0.93 0.28
285 0.23 0.92 0.28
286 0.23 0.89 0.28
287 0.23 0.93 0.28
288 0.23 0.9 0.28
289 0.23 0.91 0.28
290 0.23 0.93 0.28
291 0.23 0.9 0.28
292 0.23 0.91 0.28
293 0.23 0.88 0.27
294 0.23 0.92 0.28
295 0.23 0.92 0.28
296 0.23 0.91 0.27
297 0.23 0.93 0.27
298 0.23 0.92 0.27
299 0.23 0.86 0.27
300 0.23 0.92 0.27
301 0.23 0.9 0.27
302 0.23 0.91 0.27
303 0.23 0.86 0.27
304 0.23 0.91 0.27
305 0.23 0.9 0.27
306 0.23 0.93 0.27
307 0.23 0.9 0.27
308 0.23 0.91 0.27
309 0.23 0.9 0.27
310 0.23 0.91 0.27
311 0.23 0.9 0.27
312 0.23 0.89 0.27
313 0.23 0.86 0.27
314 0.23 0.92 0.27
315 0.23 0.92 0.27
316 0.23 0.87 0.27
317 0.23 0.87 0.27
318 0.23 0.88 0.27
319 0.23 0.89 0.27
320 0.23 0.87 0.27
321 0.23 0.9 0.27
322 0.23 0.89 0.27
323 0.23 0.92 0.27
324 0.23 0.91 0.27
325 0.23 0.91 0.27
326 0.23 0.89 0.27
327 0.23 0.91 0.27
328 0.23 0.9 0.27
329 0.23 0.89 0.27
330 0.23 0.92 0.27
331 0.23 0.9 0.27
332 0.23 0.88 0.27
333 0.23 0.93 0.27
334 0.23 0.92 0.27
335 0.23 0.92 0.27
336 0.23 0.89 0.27
337 0.23 0.9 0.27
338 0.23 0.89 0.27
339 0.23 0.9 0.27
340 0.23 0.91 0.27
341 0.23 0.9 0.27
342 0.23 0.89 0.27
343 0.23 0.93 0.27
344 0.23 0.89 0.27
345 0.23 0.92 0.27
346 0.23 0.93 0.27
347 0.23 0.92 0.27
348 0.23 0.89 0.27
349 0.23 0.91 0.27
350 0.23 0.89 0.27
351 0.23 0.91 0.27
352 0.23 0.91 0.27
353 0.23 0.91 0.27
354 0.23 0.89 0.27
355 0.23 0.93 0.27
356 0.23 0.89 0.27
357 0.23 0.9 0.27
358 0.23 0.91 0.27
359 0.23 0.91 0.27
360 0.23 0.91 0.27
361 0.23 0.91 0.27
362 0.23 0.91 0.27
363 0.23 0.93 0.27
364 0.23 0.9 0.27
365 0.23 0.9 0.27
366 0.23 0.93 0.27
367 0.23 0.87 0.27
368 0.23 0.93 0.27
369 0.23 0.92 0.27
370 0.23 0.92 0.27
371 0.23 0.9 0.27
372 0.23 0.92 0.27
373 0.23 0.92 0.27
374 0.23 0.85 0.27
375 0.23 0.92 0.27
376 0.23 0.91 0.27
377 0.23 0.93 0.27
378 0.23 0.94 0.27
379 0.23 0.9 0.27
380 0.23 0.91 0.27
381 0.23 0.9 0.27
382 0.23 0.92 0.27
383 0.23 0.93 0.27
384 0.23 0.88 0.27
385 0.23 0.88 0.27
386 0.23 0.92 0.27
387 0.23 0.89 0.27
388 0.23 0.89 0.27
389 0.23 0.89 0.27
390 0.23 0.91 0.27
391 0.23 0.93 0.27
392 0.23 0.89 0.27
393 0.23 0.9 0.27
394 0.23 0.92 0.27
395 0.23 0.92 0.27
396 0.23 0.87 0.27
397 0.23 0.9 0.27
398 0.23 0.9 0.26
399 0.23 0.9 0.26
400 0.23 0.93 0.26
401 0.23 0.92 0.26
402 0.23 0.9 0.26
403 0.23 0.92 0.26
404 0.23 0.92 0.26
405 0.23 0.91 0.26
406 0.23 0.89 0.26
407 0.23 0.9 0.26
408 0.23 0.93 0.26
409 0.23 0.92 0.26
410 0.23 0.93 0.26
411 0.23 0.91 0.26
412 0.23 0.93 0.26
413 0.23 0.85 0.26
414 0.23 0.9 0.26
415 0.23 0.89 0.26
416 0.23 0.91 0.26
417 0.23 0.9 0.26
418 0.23 0.9 0.26
419 0.23 0.91 0.26
420 0.23 0.89 0.26
421 0.23 0.9 0.26
422 0.23 0.86 0.26
423 0.23 0.9 0.26
424 0.23 0.91 0.26
425 0.23 0.89 0.26
426 0.23 0.89 0.26
427 0.23 0.92 0.26
428 0.23 0.96 0.26
429 0.23 0.94 0.26
430 0.23 0.91 0.26
431 0.23 0.88 0.26
432 0.23 0.93 0.26
433 0.23 0.92 0.26
434 0.23 0.87 0.26
435 0.23 0.9 0.26
436 0.23 0.93 0.26
437 0.23 0.91 0.26
438 0.23 0.93 0.26
439 0.23 0.9 0.26
440 0.23 0.93 0.26
441 0.23 0.92 0.26
442 0.23 0.91 0.26
443 0.23 0.92 0.26
444 0.23 0.91 0.26
445 0.23 0.91 0.26
446 0.23 0.91 0.26
447 0.23 0.94 0.26
448 0.23 0.9 0.26
449 0.23 0.88 0.26
450 0.23 0.9 0.26
451 0.23 0.92 0.26
452 0.23 0.91 0.26
453 0.23 0.89 0.26
454 0.23 0.92 0.26
455 0.23 0.92 0.26
456 0.23 0.86 0.26
457 0.23 0.91 0.26
458 0.23 0.92 0.26
459 0.23 0.92 0.26
460 0.23 0.89 0.26
461 0.23 0.92 0.26
462 0.23 0.88 0.26
463 0.23 0.9 0.26
464 0.23 0.93 0.26
465 0.23 0.91 0.26
466 0.23 0.89 0.26
467 0.23 0.92 0.26
468 0.23 0.89 0.26
469 0.23 0.88 0.26
470 0.23 0.88 0.26
471 0.23 0.92 0.26
472 0.23 0.87 0.26
473 0.23 0.92 0.26
474 0.23 0.91 0.26
475 0.23 0.92 0.26
476 0.23 0.94 0.26
477 0.23 0.88 0.26
478 0.23 0.95 0.26
479 0.23 0.95 0.26
480 0.23 0.89 0.26
481 0.23 0.91 0.26
482 0.23 0.91 0.26
483 0.23 0.87 0.26
484 0.23 0.89 0.26
485 0.23 0.88 0.26
486 0.23 0.95 0.26
487 0.23 0.9 0.26
488 0.23 0.92 0.26
489 0.23 0.9 0.26
490 0.23 0.92 0.26
491 0.23 0.91 0.26
492 0.23 0.92 0.26
493 0.23 0.91 0.26
494 0.23 0.88 0.26
495 0.23 0.9 0.26
496 0.23 0.94 0.26
497 0.23 0.88 0.26
498 0.23 0.87 0.26
499 0.23 0.9 0.26
500 0.23 0.9 0.26
